night,speach_block,speaker,text
1,44,DE BLASIO,"Well, we’ve been addressing incoming inequality in New York City by raising wages, by raising benefits, by putting money back in the hands of working people, $15 minimum wage, paid sick days, Pre-K for all, things that are making a huge difference in working people’s lives. But let me tell you what we are hearing here already in the first round of questions is that battle for the heart and soul of our party. I want to make it clear, this is supposed to be the party of working people. Yes, we’re supposed to be for 70 perecent tax rate on the wealthy. Yes, we are supposed to be for free college, free public college for our young people, we are supposed to break up big corporations when they’re not serving our democracy. This Democratic Party has to be strong and bold and progressive. And in New York, we’ve proven that we can do something very different. We can put money back in the hands of working people. And let me tell you, every time you talk about investing in people and their communities, you hear folks say there’s not enough money. What I say to them every single time is there’s plenty of money in this world. There’s plenty of money in this country. It’s just in the wrong hands."
1,45,DIAZ-BALART,Thank you. Congressman
1,46,DE BLASIO,We Democrats have to fix that.
1,47,DIAZ-BALART,"Congressman Delaney, do you agree?"
1,48,DELANEY,"I think we need to do real things to help American workers and the American people, right? This is the issue that all of us hear on the campaign trail. We need to make sure everyone has a living wage, and I’ve called for a doubling of the earned income tax credit, raising the minimum wage, and creating paid family leave. That will create a situation where people actually have a living wage. That gets right to workers. Then we’ve got to fix our public education system. It’s not delivering the results our kid’s needs, nor is college and post high school career and technical training programs doing that. You know, I’m very different than everyone else here on the stage. Prior to being in Congress, I was an entrepreneur. I started two businesses. I created thousands of jobs. I spent my whole career helping small to midsize businesses all over the country. 5000—5000 of them I supported. The Obama administration gave me an award for lending to disadvantaged communities. I know how to create jobs. We need a short-term strategy, which is to put money in the pockets of workers with the in earned income tax credit, raising the minimum wage and creating paid family leave, and then we need to have a long-term strategy to make sure this country is competitive, and we are creating jobs everywhere in this country."
1,49,DIAZ-BALART,"Governor Inslee, how would you address income inequality?"
1,50,INSLEE,"Well, I’m a little bit surprised. I think plans are great, but I am a governor and we got to realize that the people who brought us the weekend, unions, need—are going to bring us a long overdue race in America. And I’m proud of standing up for unions. I’ve got a plan to reinvigorate collective bargaining so we can increase wages finally. I marched with the SCIU folks. It is not right that the CEO of McDonald’s makes 2100 times more than the people slinging hash at McDonald’s. And the next thing I’ll do is put people to work in the jobs of the president present in the future. Look it, Donald Trump is simply wrong. He says wind turbines cause cancer. We know they cause jobs. And we know that we can put millions of people to work in the clean energy jobs of the future. Carpenters, IBW’s members, machinists, we’re doing it in my state today. And then we can do what America always does, lead the world and invent the future and put people to Burke. That’s what we’re going to do. (INAUDIBLE)"
1,51,DIAZ-BALART,"So Congressman Ryan, President Trump, and you just refer to him, promised that manufacturing jobs were all coming back to places like your home state of Ohio. Can—can you make that same promise?"
1,52,RYAN,"Yes, I believe you can. But the first, let’s say the president came, he said don’t sell your house, the people in Youngstown Ohio. And—and his administration just in the last two years, we lost $4000—4000 jobs out of General Motors facility. That rippled throughout our community. General Motors got a tax cut, General Motors got a bailout. And then they have the audacity to move a new car that they’re going to produce to Mexico. I’ve had family members that have to unbolt a machine from the factory floor, put it in a box, and ship it to China. My area where I come from in Northeast Ohio, this issue we’re talking about here, it’s been going on 40 years. This is not a new phenomenon in the United States of America. The bottom 60 percent haven’t seen a raise since 1980. Meanwhile, the top 1 percent controlled 90 percent of the wealth. We need an industrial policy saying were going to dominate building electric vehicles, there’s going to be 30 million navy made in the next 10 years. I want half of them made in the United States. I want to dominate the solar industry"
1,53,DIAZ-BALART,Thank you
1,54,RYAN,And manufacture those here in the United States.
1,55,DIAZ-BALART,Senator Warren. Are they coming back? Are these jobs coming back?
1,56,WARREN,"So we had an industrial policy in the United States for decades now and it’s basically been let giant corporations do whatever they want to do. Giant corporations have exactly one loyalty, and that is to profits. And if they can save a nickel by moving a job to Mexico or to Asia or to Canada, they’re going to do it. So here’s what I propose for an industrial policy, start with a place where there’s a real need. There’s going to be a worldwide need for green technology, ways to clean up the air, ways to clean up the water, and we can be the ones to provide that. We need to go tenfold in our research and development on green energy going forward. And then we need to say —Any corporation can come and use that research. They can make all kinds of product from it, but they have to be manufactured right here in the United States of America. And then we have to double down and sell it around the world. There is a $23 trillion market coming for green products. We should be the leaders and the owners, and we should have that 1.2 million manufacturing jobs here in America."
1,57,DIAZ-BALART,Thank you.
1,58,WARREN,We can do this.
1,59,HOLT,"All right. We’re going to turn to the issue of healthcare right now. And really try to understand where there may or may not the daylight between you. Many people watching at home have health insurance coverage through their employer. Who here would abolish their private health insurance in favor of a government run plan? Just a show of hands to start off with. All right, well Senator Klobuchar, let me put the question to you. You are one of the Democrats who wants to keep private insurance in addition to a government healthcare plan. Why is it an incremental approach in your view better than a sweeping overall?"
1,60,KLOBUCHAR,"Well, I think it’s a bold approach. It’s something that Barack Obama wanted to do when we were working"
1,61,KLOBUCHAR,"on the Affordable Care Act, and that is a public option. I am just simply concerned about kicking half of America off of their health insurance in a four years, which is exactly what this bill says. So, let me go on beyond that. There is a much bigger issue in addition to that, and that is pharmaceuticals. The president literally went on TV on Fox and said that people’s heads would spend when they see how much he would bring down pharmaceutical prices. Instead, 2,500 drugs have gone up in double digits since he came into office. Instead, he gave $100 billion in giveaways to the pharma companies. For the rest of us, for the rest of America, that’s what we call at home all foam and no beer. We got nothing out of it. And so, my proposal is to do something about pharma, to take them on, to allow negotiation under Medicare, to bring in less expensive drugs from other countries. And pharma thinks they own Washington. Well, they don’t own me."
1,62,HOLT,"Your time is up. Thank you. Senator—Senator Warren, you signed on to Bernie Sanders’ Medicare for All plan. It would put essentially everybody on the Medicare and then eliminate private plans that offer similar coverage. Is that the plan or path that you would pursue as president?"
1,63,WARREN,"So, yes, I’m with Bernie on Medicare for All, and let me tell you why. I’ve spent a big chunk of my life studying why families go broke, and one of the number one reasons is the cost of healthcare, medical bills. And that’s not just for people who don’t have insurance. It’s for people who have insurance. Look at the business model of an insurance company. It’s to bring in as many dollars as they can in premiums and to pay out as few dollars as possible for your healthcare. That leaves families with rising premiums, rising co-pays, and fighting with insurance companies to try to get the healthcare that their doctors say that they and their children need. Medicare for All solves that problem. And I understand there are a lot of politicians who say, oh, it’s just not possible. We just can’t do it. It’s—have a lot of political reasons for this. What they’re really telling you is they just won’t fight for it. Well, healthcare is a basic human right, and I will fight for basic human rights."
1,64,HOLT,"Senator, thank you."
1,65,WARREN,That means Medicare for All.
1,66,HOLT,"Congressman—Congressman O’Rourke, when you ran for Senate, you also praised a bill that would replace private insurance. This year, you’re saying you’re no longer sure. Can you explain why?"
1,67,O’ROURKE,"My goal is to ensure that every American is well enough to live to their full potential because they have healthcare. In Laredo, Texas, I met a young man, 27 years old, told me that he’d been to a doctor once in his life. And on that visit, he was told he had diabetes, was told he had glaucoma, and he was told untreated, because he doesn’t have healthcare, he’ll be dead before the age of 40. So, getting to guaranteed, high quality, universal healthcare as quickly and surely as possible has to be our goal; the ability to afford your prescriptions and go to a primary care provider, the—the ability to see a mental health care provider. In Texas, the single largest provider of mental health care services is the county jail system today. And healthcare also has to mean that every woman can make our own decisions about her own body and has access to the care that makes that possible. Our plan says that if you’re uninsured, we enroll you in Medicare. If you’re insufficiently in short, you can afford your premiums, we enroll you in Medicare. But if you’re a member of a union that negotiated for a healthcare plan that you like because it works for you"
1,68,HOLT,Your time is up
1,69,O’ROURKE,"And your family, your able to keep it. We preserve choice by making sure"
1,70,HOLT,Your time
1,71,O’ROURKE,Everybody has health care
1,72,HOLT,"Your time is up, Congressman. But I do want to ask a follow up on this one just to be—just to be very clear. I’ll give you 10 seconds. Would you replace private insurance?"
1,73,O’ROURKE,No. I—I think that choice is—is fundamental to our ability
1,74,DE BLASIO,"Hey, wait, wait"
1,75,O’ROURKE,To get everybody cared for
1,76,DE BLASIO,"Congressman O’Rourke, about private insurance is not working for tens of millions of Americans. When you talk about the co-pays, the deductibles, the premiums, the out-of-pocket expenses, it’s not working."
1,77,O’ROURKE,"That’s right. So—so, for those"
1,78,DE BLASIO,How can you defend a system that’s
1,79,O’ROURKE,For whom it is
1,80,DE BLASIO,Not working
1,81,O’ROURKE,"Not working, they can choose Medicare. For the culinary workers"
1,82,DE BLASIO,Congressman
1,83,O’ROURKE,In Nevada who I listened to
1,84,DE BLASIO,You got to start by acknowledging the system is not working
1,85,O’ROURKE,Who negotiated for those plans
1,86,DE BLASIO,For people
1,87,O’ROURKE,They’re able to keep ‘em.
1,88,DE BLASIO,Why are you defending private insurance to begin with?
1,89,DELANEY,"A hundred million Americans say they like their private health insurance, by the way? It should be noted that a hundred million Americans—I mean, I think we should be the party that keeps what’s working and fixes what’s broken. I mean, doesn’t that make sense? I mean, we should give everyone in this country healthcare as a basic human right or free, full stop. But we should also give them the option to buy private insurance. Why do we have to stand up for taking away something from the people? And also, it’s bad policy. If you go to every hospital in this country and you ask them one question, which is how would it have been for you last year if every one of your bills were paid at the Medicare rate? Every single hospital administrator said they would close. And the Medicare for All bill requires payments to stay at current Medicare rates. So, to some extent, were basically supporting a bill that will have every hospital close. I mean, my dad was a union electrician, right? I actually grew up in a working-class family. He loved the healthcare that the IBEW have him. And I’d just always think about my dad in anything I wouldn’t do from a policy perspective. He’d look at me and—and he’d say good job, John, for getting healthcare for every American."
1,90,HOLT,I—I’ve let—I’ve let this
1,91,DELANEY,But why are you taking my healthcare way?
1,92,HOLT,I’ve let this play out a little bit because it’s—I’m fascinated to hear the daylight between you. Congresswoman Gabbard
1,93,GABBARD,Yes
1,94,HOLT,Weigh—weigh in here.
1,95,GABBARD,"I think we’re talking about this in the wrong way. You’re talking about one bill over another bill. Really, what we’re talking about is our objective, making sure that every single American in this country is able to get the health care that they need. I believe Medicare for All is the way to do that. I also think that employers recognize how much money will be saved by supporting a Medicare for All program, a program that will reduce the administrative costs, reduce the bureaucratic costs, and make sure that everyone gets that quality healthcare that they need."
1,96,HOLT,Senator
1,97,GABBARD,"I also think if you—if you look at other countries in the world who have universal healthcare, every one of them has some form of a role of—of private insurance. I think that’s what we’ve got to look at, taking the best of these ideas, but making sure unequivocally that no sick American goes without getting the care that they need regardless"
1,98,HOLT,Congresswoman
1,99,GABBARD,Of how much or little money they have in their pocket.
1,100,HOLT,"Congresswoman, thanks."
1,101,UNKNOWN,Lester? Lester?
1,102,HOLT,"Let me turn to Senator Booker on this. Senator Booker, explain to me where you are. This is hugely important to people, so tell us where you are."
1,103,BOOKER,"I absolutely will. First of all, we’re talking about this as a healthcare issue. But in communities like mine, low income communities, it’s an education issue because kids who don’t have healthcare are not going to succeed in school. It is an issue for jobs —And employment because people that do not have good health care do not succeed at work. It’s even a retirement issue because, in my community, African-Americans have a lower life expectancy because of the poorer health care. And so, where I stand is very clear. Healthcare is not just a human right, it should be an American right. And I believe the best way to get there is Medicare for All. But I have an urgency about this. When I am president of the United States, I’m not going to wait. We have to do the things immediately that are going to provide better care. And on this debate, I’m sorry. There are too many people profiteering off of the pain of people in America from the—from pharmaceutical companies to insurers. Literally, the overhead for insurers that they charge is 15 percent, while Medicare’s overhead is only at 2 percent. We can do this better, and every single day I will be fighting to give people more access and more affordable cost until we get to my goal"
1,104,HOLT,"Your time is up, Senator"
1,105,BOOKER,Which is every American having healthcare.
1,106,UNKNOWN,Lester? Lester?
1,107,HOLT,"Your time is up, Senator. I want to—I want to move back"
1,108,WARREN,Can I just add to Senator
1,109,HOLT,"If I can, to"
1,110,WARREN,I just want to add to
1,111,HOLT,Congressman Gabbard
1,112,WARREN,Senator Booker’s
1,113,UNKNOWN,Lester
1,114,WARREN,"Point though. And that is that the insurance companies last year alone sucked $23 billion in profits out of the healthcare system, $23 billion, and that doesn’t count the money that was paid to executives, the money that was spent lobbying Washington. We have a giant industry that wants our healthcare system to stay the way it is, because it’s not working for families but it’s sure as heck working for them."
1,115,HOLT,Governor—Governor Inslee?
1,116,INSLEE,It’s not good enough
1,117,WARREN,It’s time for us
1,118,HOLT,Governor Inslee
1,119,WARREN,To make families come first.
1,120,INSLEE,"It should not be an option in the United States of America for any insurance company to deny woman coverage for their exercise of their right of choice. And I am the only candidate here who has passed a law protecting a woman’s right of reproductive health and health insurance, and on the only candidate who has passed a public option. And I respect everybody’s goals and plans here, but we do have one candidate that’s actually advance the ball. And we got to have access for everyone. I’ve done it as a public option."
1,121,HOLT,"Your time—time is up, governor. (CROSSTALK)"
1,122,HOLT,"Senator—Senator Klobuchar, I want to give you"
1,123,UNKNOWN,That’s a false claim. That’s a false claim.
1,124,UNKNOWN,Lester?
1,125,HOLT,I’m fascinated by this. Senator—Senator
1,126,KLOBUCHAR,I think—I think we’re
1,127,HOLT, Klobuchar?
1,128,KLOBUCHAR,"I just want to say there’s three women appear that have fought pretty hard for a woman’s right to choose, so I’ll start with that. And then I just want to make very clear, I think we share the goal of universal healthcare. And the idea I put out there, the public option, which the governor was just talking about, this idea is that you use Medicare or Medicaid without any insurance companies involved. You could do it either way. At its—the estimates are 13 million people would see a reduction in their premiums, 12 more million people would get covered. So, I think it is a beginning and the way you start and the way you moved to universal healthcare. (CROSSTALK)"
1,129,HOLT,"Secretary Castro, this one is for you. All of you onstage support a woman’s right to an abortion. You all support some version of a government healthcare option. Would your-"
1,130,HOLT,"plan cover abortion, Mr. Secretary?"
1,131,CASTRO,"Yes, it would. I don’t believe only in reproductive freedom. I believe in reproductive justice. And, you know what that means is just because a woman or let’s also not forget someone in the trans community—a trans female —is poor doesn’t mean they shouldn’t have the right to exercise that right to choose. So, I absolutely would cover the right to have an abortion. More than that everybody in this crowd and watching at home knows that in our country today a person’s right to choose is under assault in places like Missouri and Alabama, in Georgia. I would appoint judges to the federal bench that understand the precedent of Roe v Wade and will respect. And in addition to that make sure that we fight hard as we transition our healthcare system to one where everybody can get and exercise that right."
1,132,GUTHRIE,"Senator Warren, would you put limits—any limits on abortion?"
1,133,WARREN,"I would make certain that every woman has access to the full range of reproductive healthcare services and that includes birth control, it includes abortion, it includes everything for a woman. And, I want to add on that—it’s not enough for us to expect the courts to protect us. Forty-seven years ago Roe versus Wade was decided and we’ve all looked to the courts all that time. As state after state has undermined Roe, has put in exceptions has come right up to the age of taking away protection."
1,134,GUTHRIE,"Your time is up, Senator."
1,135,WARREN,We now have an America where most people support Roe versus Wade. We need to make that federal law.
1,136,DIAZ BALART,"Senator, thank you."
1,137,DIAZ BALART,"Senator Booker, I want to kind of come back on a discussion we were having about health and the opioid crisis. You represent a state where 14 of the 28 largest pharmaceutical companies are based. Should pharmaceutical companies that manufacture these drugs be held criminally liable for what they do?"
1,138,BOOKER,"They should absolutely be held criminally liable because they are liable and responsible. This is one of the reasons why (INAUDIBLE) I was running for president I said I would not take contributions from former companies, not take contributions —I will not take contributions from corporate tax or pharma executives because they are part of this problem. And this opioid addiction in our country we in cities like mine have been seeing how we have been trying to arrest our way out of addiction for too long. It is time that we have a national urgency to deal with this problem and make the solutions that are working to actually be the law of our land and make the pharmaceutical that are responsible help to—help to pay for that."
1,139,DIAZ BALART,"Congressman O’Rourke, how would you deal with it?"
1,140,O’ROURKE,Tonight in this country you have 2.3 million or fellow Americans behind bars. It’s the largest prison population on the face of the planet. Many are there for non-violent drug crimes including possession of marijuana at a time that more than half the states have legalized it or decriminalized. And despite what Purdue Pharma has done—their connection to the opioid crisis and the overdose deaths that we’re seeing throughout this country they’ve been able to act with complete impunity and pay no consequences not a single night in jail. Unless there’s accountability and justice this crisis will continue. In my administration we will hold them to account. We will make sure that they pay a price and we will help those that have been a victim of these malfeasance in this country get them treatment and long-term care.
1,141,HOLT,I know immigration is on a lot of your minds here and I want to talk about it. I am going to talk about it in a moment. We need to take a break. We’ll be back with more from Miami after this.
1,142,DIAZ BALART,"We want to turn to an issue that has been in the news especially this week. There are undocumented children being held alone in detention. Even as close as Homestead, Florida, right here less than 30 miles from where we are tonight. Fathers and mothers and children are dying while trying to enter the United States of America. We saw that image today that broke our hearts and they had names. Oscar Martinez and his 23 month old daughter Valeria(PH) died trying to cross the river to ask for asylum in this country. Last month, more than 130,000 migrants were apprehended at the Southern Border. Secretary Castro, if you were president today what would you specifically do?"
1,143,CASTRO,"Thank you very much, Jose. I’m very proud that in April I became the first candidate to put forward a comprehensive immigration plan and we saw those images —watching that image of Oscar and his daughter Valeria is heartbreaking. It should also piss us all off. If I were president—and it should spur us to action. If I were president I would sign an executive order that would get rid of Trump’s zero tolerance policy, the remain in Mexico policy and the metering policy. This metering policy is basically what prompted Oscar and Valeria to make that risky swim across the river—river. They have been playing games with people who are coming and trying to seek asylum at the ports of entry. Oscar and Valeria went to a port of entry and then they were denied the ability to make an asylum claim. So, they got frustrated and they tried to cross the river and they died because of that."
1,144,DIAZ BALART,"On day one, sorry. I (INAUDIBLE)."
1,145,CASTRO,On day one I would sign an executive order that would address metering and the in would follow that up in my first 100 days with immigration reform that would honor asylum claims. That would put undocumented immig—undocumented immigrants as long as they haven’t committed a serious crime on a pathway to citizenship and we get to the root cause of the issue which is—we need a marshal plan for Honduras and Guatemala and El Salvador. So that people can find safety and opportunity at home instead of coming to the United States to seek it.
1,146,DIAZ BALART,"Senator Booker, what would you do on day one? And this is a situation that the next president will inherit."
1,147,BOOKER,"Yes. (UNTRANSLATED) On day one I will make sure that number one, we end the ICE policies and the customs and border policies are violating the human rights. When people come to their—this country they do not leave their human rights at the border. Number two, I will make sure that we reinstate DACA, that we reinstate pathways to citizenship for DACA recipients and to make sure that people who are here on temporary protected status can stay and remain here. And then finally, we need to make sure that we address the issues that made Oscar and Valeria come in the first place by making major investments in the Northern Triangle. Not like this president is doing by ripping away the resources we need to actually solve this problem. We cannot surrender our values and think that we are going to get border security. We actually will lose security and our values. We must fight for both."
1,148,CASTRO,"If I might very briefly—and this is an important point. My plan and I’m glad to see that Senator Booker, Senator Warren and Governor Inslee agree with me on this—my plan also includes getting red—getting rid of Section 1325 of Immigration Nationality Act. To go back to the way we used to treat this—when somebody comes across the border not to criminalize desperation. To treat that as a civil violation. And—and here is why it’s important—we see all of this horrendous family separation they use that law Section 1325 to justify under the law separating little children from their families."
1,149,BOOKER,Jose you were not asked
1,150,CASTRO,So I challenge every single candidate on this stage to support the repeal of Section 1325.
1,151,BOOKER,I already have.
1,152,DIAZ BALART,30 seconds.
1,153,BOOKER,"As my friend here said I agree with him on that issue but folks should understand that the separation of children from families doesn’t just go on at our border. It happens in our communities. ICE are ripping away parents from their American children, spouses and the like. And are creating fear in cities all across this country where parents are afraid to even drop their kids off to school or go to work. We must end those policies as well."
1,154,DE BLASIO,(INAUDIBLE)— about immigration this country—because look at the bottom line here. Those tragic—that tragic photo of those that parent that child and I’m saying this as a father—every American should feel that in their heart. Every American should say-
1,155,DE BLASIO,"Those are not our values but we have to get under the skin of why we have this crisis in our system because we are not being honest about the division that has been fomented in this country. The way that American citizens have been told that immigrants somehow created their misery and their pain and their challenges. For all of the American citizens out there who feel you are falling behind or feel the American dream is not working for you the immigrants didn’t do that to you. The big corporations did that to you. The one person did that to you. We need to be a party of working people and that includes a party of immigrants but first we have to tell working people in America who are hurting that we are going to be on their side every single time against those big corporations who created this mess to begin with and remind people we are all in this together. If we don’t change that debate, that politics that is holding us back we won’t get all of these reforms that people are talking about. That is what we need to do as Democrats."
1,156,DIAZ-BALART,If I could I’m sorry (UNTRANSLATED) O’Rourke (UNTRANSLATED). What would you do congressman day one at the White House?
